dpt_tp,grpcode_tp,tpincno_bi,tgt,offset_tgt
91834,LMA2AA01,1,27000,10.912596591
91687,others,1,500000,11.624646659
91181,HFA0,1,216732.36937,11.309890752
90960,HQA0BD01,1,59508,11.018332658
93290,FTA1BK02,1,1689.504,11.667071664
91183,QYA1AE01,1,122000.018,11.036173959
90925,QRA0,1,18838,10.319204626
934EA,XDA1AD01,1,3052.59,11.104237676
91687,ADA1AF03,1,1000,11.28106171
90955,MZA2AL06,1,74987.68,11.819403485
93281,DHF0,1,173742.821,11.745566718
90925,BTA2AE01,1,2159.9838,10.858560778
90621,FTA0AF12,1,60407.92,11.129928893
923EA,BYA0AP01,1,8938.58,11.090612675
90925,CCA2,1,159,10.745566742
93923,BJA8,1,29151.906,11.317151425
933EA,BJG0AD01,1,25620,11.023477443
92316,BKA1AL01,1,43390.7664,10.681215718
91687,GQB1AB01,1,60510.25,11.051266235
904EA,DZA1AT05,1,103181.58,11.283853384
91682,DZA2AE03,1,1000000,11.200615668
91833,BYA0AL01,1,5949.685,11.832386487
934EA,DZA2AA04,1,100,11.402514089
90344,JHA0,1,28148,11.146238891
908EA,CCA2AF01,1,63322.072,11.264471707
939EA,CAA0BN,1,30060.68,11.542640776
90521,QYA1,1,2258.9,11.351821636
90948,CAA0BB03,1,31481.3324,10.793873969
91199,KDA0,1,8547.03,11.203223303
92238,DFM0AE,1,4860,10.978481296
91833,XDA1AD01,1,95945.85,11.322333817
92187,XFA1AK05,1,13125,11.391534672
901EA,MSB1AQ04,1,73.821,10.264266542
91681,MSB0AJ,1,17240.982,10.556410567
93282,DNA0AH,1,24737.854389,11.352667999
91195,others,1,30650,11.06022846
902EA,BKA1AG02,1,152000,11.777917553
92785,XDA1AM03,1,67000,10.926950544
90945,CAA0CH,1,5617.8,10.87543149
901EA,others,1,12575.75,12.017613086
923EA,XDA1AD01,1,8823.2,11.119246249
901EA,BJAD,1,22375.44,10.291069903
91683,SKA1AA01,1,300412.12818,10.522824324
93292,JLA0AO01,1,1000,10.503561526
92187,DZA1AW03,1,2400,11.029273455
923EA,XTA1,1,540381.28,11.608451536
91760,BYA0AD01,1,17109.67,11.812278152
90346,RCA1AK01,1,419760.6,10.550787855
918EA,MZA2AL,1,39808,11.884983996
90621,HQA0,1,268,10.904644045
90785,FTB1,1,45356.8,11.042901289
91833,HQA3,1,33928.5786,11.863915564
938EA,HQA3,1,102020,11.157578201
90621,FTA1BF,1,12469.29,11.518360371
93284,BJG0AD01,1,399737.436,11.719056642
91831,CCA2AD02,1,5370.5,11.321327535
908EA,BTA2AD02,1,8753.094,11.350381415
90344,BYA0,1,3790,11.570005771
91282,DZA1AT04,1,300000,11.475799253
91740,XFA1AK03,1,41768.74,11.471344268
91283,SKA1,1,22029,10.814209509
93452,QYA1,1,42982.189952,11.208922735
910EA,JPA2AA01,1,54290.992,11.694707536
90343,BTA1AR02,1,38049.992,10.858424308
90531,RWA0AC01,1,30198.033905,10.262093338
90621,TYB0AA01,1,121652.08718,10.627718655
93453,DZA2AC02,1,23409.874,10.853214568
93281,CAA0CC,1,2962,10.931200719
92187,BTA1,1,1435.44,11.192114493
94023,FTA0AF12,1,12600,11.700174271
91686,ADA1,1,38834.069368,10.452248042
93117,MSB1AD01,1,20599.752,11.22751985
91833,DZA1AN04,1,33400,10.618453634
90949,BKA1AH03,1,2970,11.418836259
901EA,JHA0AI01,1,3200,10.613897469
918EA,TYB0AC06,1,21508.585,10.812384229
91192,BJG0,1,38160.088,11.507376023
90345,ADA1AG01,1,43940.99,11.599303481
91832,CAA0BB,1,5739.9986,11.61008798
91687,DZA2AC01,1,5843.28,11.119372515
90520,FTA2BM01,1,21600,10.94775935
93116,QYA1AF01,1,781,11.466094049
90176,MZA2AL01,1,100000,10.03275482
904EA,XLA0AB09,1,147719.982,10.896465455
903EA,JHA0AU01,1,45686.97,12.030757642
90345,BTA1AB01,1,8363.719,10.967135524
93116,BMA0,1,17987.214,10.997160646
90726,CAA0BB03,1,135113.755,10.878641684
91833,ZHA0AI01,1,49908.61,11.324340923
91283,MZA3AB,1,18832.72,12.237247391
93282,ADA1AE03,1,5148.3,10.109383571
901EA,QRA0,1,43683.38,11.560593712
905EA,XDA1AC01,1,1000000,12.298158144
90521,DZA2AC02,1,4500,11.317339923
90531,BKA1,1,4338.0918,11.149770613
91199,FTB1AA02,1,9317.266,11.486288573
91834,DZA2AC03,1,7210,11.984092123
93452,BYA0,1,18724.9832,11.302967486
90349,CCA2AD01,1,5088.45,11.423360097
905EA,JHA0AU01,1,11629.892,11.632783642
93453,DZA2,1,668,11.070218913
90925,CAA0AY01,1,6326.81,10.503170258
92187,ADA1AG01,1,6653,10.251004534
938EA,RCA1BS01,1,93013,10.939913064
91181,CAA0CM01,1,634283.26579,11.085258996
918EA,CAA0BB10,1,127816.84584,11.053318843
91830,RCA1AS03,1,6276.5,11.537777663
90984,BKA1AM02,1,12654,11.17002545
90349,RWA0,1,5276,11.206783902
92187,BKA1AL05,1,2290,11.397182297
909EA,BZA1,1,30296.58,11.58790927
93293,BYA0AD01,1,50869.992,11.454030772
905EA,XFA1AS02,1,18331.992,10.781348338
901EA,HQA0AD01,1,39100,11.906305842
90129,BJG0AI00,1,5527.38,10.505976214
91833,XFA1AK03,1,25000,11.618544497
90372,XFA1AD01,1,67985.65,11.386465658
918EA,BYA0AK01,1,42451,11.47437283
943EA,DZA1AT03,1,33901.11,11.22342119
90520,SKA1AF02,1,191051.75,11.20890245
93451,RWA0AB01,1,92472.865121,11.067585911
93453,DZA2AD02,1,415706.19,11.759251206
90346,LHB0,1,1079.982,11.010827584
934EA,JLA0AJ02,1,114429.018,11.484735484
91283,BJA1,1,30903.47,11.593451634
91685,DFM0AE,1,17800,11.515563
91686,BKA1AH03,1,20960,11.481095675
90925,FTB1AU06,1,82753.65,11.284451206
902EA,FTB1AA03,1,28040,12.21002127
91772,LMA1AN01,1,33201.36,10.741100388
93920,BJG0AD01,1,8379.6,11.875673179
909EA,BZA1AG01,1,278,11.629749217
90520,XLA0AB,1,6223.6426,10.572925159
904EA,DZA1AW02,1,65117.99,11.082366165
95022,DFC9DG,1,8500,11.376988889
93284,DFC1IZ01,1,33318.260241,11.256575258
90984,RCA1BS03,1,988.5,11.008068135
91284,FTB1AD01,1,3852,11.551677313
93287,RCA1BS02,1,7724.68,11.524150121
90726,FTB1AA02,1,3870,11.297281029
90520,RWA0AH01,1,29568,10.70360259
91181,XLA0AB,1,67402.77,11.151629012
90347,FTB1AB01,1,923200.002,11.859564038
91830,DZA2AB06,1,263959.08027,11.59829576
90787,TYB0AB04,1,2670,10.970913856
905EA,RCA1BX01,1,25166,12.699899156
93286,FTB1AU04,1,23211.978,11.196455664
92787,BJG0,1,6380.004,10.779053342
93284,BMA1AK03,1,96429.29,11.112367663
90951,XFA1AK05,1,4630,11.08965026
906EA,FTA1BE02,1,21179.43,10.753337817
93116,others,1,5000,11.548852789
93116,DZA0AD03,1,21511.37,11.560082687
90374,MJB0AH01,1,4567,11.43611102
93283,FTA1BK01,1,2970.006,11.171709599
93286,XFA1AA04,1,4994.41,11.806695264
91181,DZA2AB01,1,184365.99718,11.55646822
95022,BTA1AL03,1,3432.22,11.35117712
938EA,BKA1,1,41787.4,11.570447199
91831,BZA1AH01,1,39899.9944,10.834469641
90949,QYA1AF01,1,276389.392,11.348706855
93454,KRC0,1,18300.008,11.722979569
939EA,BTA2AE01,1,3316,10.433039325
90345,XDA1AG01,1,720000,11.625582227
92187,CAA0BB03,1,9800,11.230630944
93292,BJA8,1,215322.7642,11.776794337
90343,FTB2AH,1,129480,11.956762504
93284,TYB0AC01,1,9772.1676,11.061237221
904EA,XLA0AB09,1,227310.47699,10.743042033
90344,FTA0,1,437869.2,11.709293783
91770,CAA0BB03,1,36100,11.178293183
93288,XFA1AK05,1,1650,11.141317879
91283,MZA3AB,1,13095,11.439516796
939EA,TYB0AB04,1,21904.18,10.733508781
93453,DZA2AA04,1,27492.12,11.54274273
931EA,XDA1AH01,1,19276,11.203399595
91185,RCA1BS01,1,3948.889,11.073103329
90724,FTA2AD01,1,255677.97642,10.937080347
90925,BTA2AA03,1,308800.0048,10.998955047
904EA,XFA1AK03,1,6320,11.330760813
93450,CAA0AR01,1,5130.59,11.409009097
933EA,MSB1AA01,1,63582.1,10.652811676
90925,CAA0CM01,1,14670.603776,10.467782444
93920,FTB1AF02,1,364985.528,10.748723505
934EA,TYB0AB10,1,200000,11.14829977
93116,XDA1AM01,1,10179.58,11.168940237
93454,XDA1AJ02,1,7351.435836,11.707138047
93283,ADA1AF03,1,19418.0196,10.861283517
91730,others,1,10016.982,10.84732016
91281,DZA1AQ03,1,37679.63,11.118282504
910EA,RCA1AS02,1,33008.96,11.321667487
902EA,BKA1AH02,1,21792.1,11.011966748
90786,BTA2AA03,1,223543,11.506222275
90787,BKA1AL05,1,81769.093649,11.426601497
90176,LMA2AA01,1,93319.6,9.7134619449
93284,XDA1AB01,1,45339.78,11.168454133
91682,others,1,16848.0108,11.470564932
93450,HMB0AL01,1,351050.58964,11.228130266
90347,ADA1AF03,1,27457,11.339755362
91283,TYB0AC13,1,33185,11.308388559
910EA,BJA8AB01,1,107048.16,11.516350006
93283,XLA0AB10,1,17850.008,10.611365077
904EA,ADA1AE03,1,151067.256,10.866906088
93281,QRA0AD,1,98960.28,10.537877983
90531,BKA1AM01,1,43564,11.435075206
931EA,DZA2AK,1,63466,10.520380717
90786,BTA1AB01,1,274053.92,10.95648251
90722,HMB0AA,1,500000,11.223241031
92181,QYA1AF01,1,35932.96,12.01776176
91682,SKA1AF01,1,6010,10.773467748
93286,others,1,4930,10.873748741
